superEasy
7449.22508333335	7449.22508333335	0
9239.26883333336	9239.26883333336	2
11032.998	11032.998	0
14612.998	14612.998	2
16402.998	16402.998	1
18192.998	18192.998	0
21766.9670104166	21766.9670104166	0
23552.0920104166	23552.0920104166	1
25337.2170104166	25337.2170104166	2
27118.623	27118.623	1
28911.1860208333	28911.1860208333	2
30696.3110208333	30696.3110208333	1
32477.7284145833	32477.7284145833	0
36055.1959999999	36055.1959999999	0
37845.7949999999	37845.7949999999	2
39636.3939999999	39636.3939999999	0
43219.993	43219.993	2
45004.993	45004.993	1
46789.993	46789.993	0
50359.993	50359.993	0
52131.393	52131.393	1
53902.793	53902.793	2
55674.193	55674.193	1
57445.593	57445.593	2
59216.993	59216.993	1
61054.493	61054.493	0
64518.491	64518.491	0
66246.49	66246.49	2
67974.489	67974.489	0
69791.988	69791.988	2
71609.487	71609.487	0
73361.987	73361.987	2
75114.487	75114.487	1
77482.4032500001	77482.4032500001	2
78666.3613750001	78666.3613750001	1
82173.7276666667	82173.7276666667	0
83989.486	83989.486	2
85799.486	85799.486	1
87564.086	87564.086	1
89328.686	89328.686	2
91093.286	91093.286	1
92857.886	92857.886	0
96381.0849999999	96381.0849999999	0
98139.6839999999	98139.6839999999	1
99898.2829999999	99898.2829999999	2
101656.882	101656.882	1
103404.48975625	103404.48975625	2
105193.48	105193.48	1
106947.813	106947.813	0
110467.650875	110467.650875	0
112251.426916666	112251.426916666	2
114027.755041666	114027.755041666	0
115776.479	115776.479	2
117521.479	117521.479	0
119238.479	119238.479	2
120991.145	120991.145	1
121995.2765625	121995.2765625	1
122743.811	122743.811	1
124485.5228375	124485.5228375	2
126271.477	126271.477	0
128046.477	128046.477	0
129808.977	129808.977	2
131571.477	131571.477	0
133301.577	133301.577	2
135091.477	135091.477	2
136828.977	136828.977	1
138566.477	138566.477	0
142113.977	142113.977	0
143887.727	143887.727	1
145661.477	145661.477	2
147430.227	147430.227	1
149198.977	149198.977	2
150967.727	150967.727	1
152736.477	152736.477	0
154500.876	154500.876	0
156265.275	156265.275	0
158029.674	158029.674	1
159794.073	159794.073	2
161558.472	161558.472	1
163395.972	163395.972	2
165657.972	165657.972	1
169332.972	169332.972	0
easy
0	0	0
medium
0	0	0
amazing
0	0	0
